created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 07 12:43:39 +0000 2023;1710637010002891080;"Banyak dukungan agar terwujudnya Rempang Eco City, yang ada di Pulau Rempang Aman #DukungBahlil https://t.co/IFjzXf6Hny";0;0;0;0;in;1558375078278025217;1710637010002891080;JagaragaFirman1;https://twitter.com/JagaragaFirman1/status/1710637010002891080
Sat Oct 07 12:43:26 +0000 2023;1710636953627206105;"@CSzipel_ @aniesbaswedan @ganjarpranowo @prabowo wajib dukung pak bahlil siihatas usahanya dlm pembebasan lahan Rempang Aman  #DukungBahlil";0;0;0;0;in;1647756037058097152;1710619730875404427;buttwerfly29;https://twitter.com/buttwerfly29/status/1710636953627206105
Sat Oct 07 12:43:24 +0000 2023;1710636944932442159;"@floreskekinian2 @MataNajwa @tvOneNews @karniilyas Rempang Aman akan membantu tenaga kerja untuk mendpatkan pekerjaan dngan merata dan semuanya harus ikut andil #DukungBahlil";0;0;0;0;in;1688398780708888576;1710619730703450570;Machaawijo;https://twitter.com/Machaawijo/status/1710636944932442159
Sat Oct 07 12:43:03 +0000 2023;1710636858835935591;"Menteri investasi menjalankan tugasnya agar terwujud kota impian bersamaan Rempang Aman  #DukungBahlil https://t.co/Ny9i2gJhnc";0;0;0;0;in;1558375078278025217;1710636858835935591;JagaragaFirman1;https://twitter.com/JagaragaFirman1/status/1710636858835935591
Sat Oct 07 12:42:46 +0000 2023;1710636786517672185;"Rempang aman dengan adanya keterlibatan pak bahlil sendiri . Rempang Aman #DukungBahlil   https://t.co/5CIvQ7DH7k";0;0;0;0;in;1644610062051315714;1710636786517672185;Maritobortop;https://twitter.com/Maritobortop/status/1710636786517672185
Sat Oct 07 12:42:45 +0000 2023;1710636782168273199;"@CSzipel_ @aniesbaswedan @ganjarpranowo @prabowo yuk dukung pak bahlil atas usahanya dlm pembebasan lahan Rempang Aman  #DukungBahlil";0;0;0;0;in;1636583757523349505;1710619730875404427;sunshin3ofskz;https://twitter.com/sunshin3ofskz/status/1710636782168273199
Sat Oct 07 12:42:45 +0000 2023;1710636780402495872;"@CSzipel_ @aniesbaswedan @ganjarpranowo @prabowo Kita dukung menteri @bahlillahadalia lanjutkan proyek strategis nasional di rempang.  Rempang Aman  #DukungBahlil";0;0;0;0;in;1686291325308784640;1710619730875404427;syahirasyafaa;https://twitter.com/syahirasyafaa/status/1710636780402495872
Sat Oct 07 12:42:18 +0000 2023;1710636669903483136;"Rempang Aman karena langkah persuasif dengan merangkul masyarakat sehingga konflik2 sebelumnya bs diselesaikan dgn baik  #DukungBahlil https://t.co/D5ceFNAzfO";0;0;0;0;in;1620055616806064128;1710636669903483136;hosisilalahi;https://twitter.com/hosisilalahi/status/1710636669903483136
Sat Oct 07 12:42:04 +0000 2023;1710636609258053661;"@Ivatcci @jokowi @bahlillahadalia @bkpm Persoalan rempang sebetulnya hanya persoalan komunikasi yg belum selesai.  Rempang Aman  #DukungBahlil";0;0;0;0;in;1686291325308784640;1710618473209241755;syahirasyafaa;https://twitter.com/syahirasyafaa/status/1710636609258053661
Sat Oct 07 12:41:58 +0000 2023;1710636583500849470;"Rempang Aman dengan dilibatkan nya masyarakat pada Rempang eco city, permasalahan nanti nya bs di rembukkan dg warga  #DukungBahlil https://t.co/B5jrFigSzh";0;0;0;0;in;1644610062051315714;1710636583500849470;Maritobortop;https://twitter.com/Maritobortop/status/1710636583500849470
Sat Oct 07 12:41:45 +0000 2023;1710636529344033002;"@CSzipel_ @aniesbaswedan @ganjarpranowo @prabowo salutt bgtt sama pak bahlil atas usahanya dlm pembebasan lahan Rempang Aman  #DukungBahlil";0;0;0;0;in;1647761620419108864;1710619730875404427;linonotknow;https://twitter.com/linonotknow/status/1710636529344033002
Sat Oct 07 12:41:36 +0000 2023;1710636492065026328;"@IND0_Update @mediaindonesia @indozonemedia Semangat pak dalam menyelesaikan masalah rempang . Rempang Aman #DukungBahlil";0;0;0;0;in;1694596075397730304;1710619686176723434;cupicupiwa;https://twitter.com/cupicupiwa/status/1710636492065026328
Sat Oct 07 12:41:34 +0000 2023;1710636482418131090;"@IND0_Update @mediaindonesia @indozonemedia Mantap sekali kinerja pak Bahlil, DPR aja mendukung penuh.  Rempang Aman  #DukungBahlil";0;0;0;0;in;1620055616806064128;1710619686176723434;hosisilalahi;https://twitter.com/hosisilalahi/status/1710636482418131090
Sat Oct 07 12:41:20 +0000 2023;1710636423538479485;"@IND0_Update @mediaindonesia @indozonemedia Bahlil mempercepat investasi di Pulau Rempang menunjukkan visi dan tekad untuk membangun masa depan yang lebih baik. Semoga upayanya membawa manfaat besar bagi masyarakat dan wilayah ini. 💪🌟Rempang Aman  #DukungBahlil";0;0;0;0;in;2987842936;1710619686176723434;reczkless;https://twitter.com/reczkless/status/1710636423538479485
Sat Oct 07 12:41:12 +0000 2023;1710636390583779508;"Anggota DPR pun mendukung ide pak Bahlil dengan Rempang Aman #DukungBahlil https://t.co/hrNaiXkagy";0;0;0;0;in;1289620278339760128;1710636390583779508;digcityxx;https://twitter.com/digcityxx/status/1710636390583779508
Sat Oct 07 12:41:11 +0000 2023;1710636386339131470;"@IND0_Update @mediaindonesia @indozonemedia Ayo pak kami dukung bapak agar Rempang Aman #DukungBahlil";0;0;0;0;in;1677841779998212098;1710619686176723434;AnnisaRizk54261;https://twitter.com/AnnisaRizk54261/status/1710636386339131470
