created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,,
"Thu Oct 05 23:24:09 +0000 2023;1710073421047202259;""@jokowi Jika anda tetap merelokasi rakyat Rempang bersiap siaplah menerima hasil doa2 rakyat yg terzholimi yg mereka panjatkan kepada ALLAH SWT.  Ayo Pak! Memimpinlah dgn adil dan bijaksana. Berpihaklah pada rakyat. Jangan mementingkan partai dan golongan. Jangan takut ancaman oligarkhi."";0;0;0;1;in;1461124387512283138;1709912852688224333;MNurBonar;https://twitter.com/MNurBonar/status/1710073421047202259",,,,,,,,,,,
"Thu Oct 05 23:17:11 +0000 2023;1710071667207139566;""Wajar sih kejadian di Rempang gak beres2", wong Mandalika saja sudah sekian kali lomba," urusan tanahnya belum kelar. Investasi ala rezim ini memang seringnya menindas rakyat kecil 😴 https://t.co/8WCTmXDfht"";4;9;239;512;in;227320530;1710071667207139566;hipohan;https://twitter.com/hipohan/status/1710071667207139566",,,,,,,,,
"Thu Oct 05 23:16:12 +0000 2023;1710071420137410771;""@AlnilamOmar Kok jadi begini semua iya 🤔 Kayak pamer kebahagiaan sementara rakyat yang Rempang menangis"";0;0;0;1;in;1624876394357608448;1709936826008674560;AinahJain;https://twitter.com/AinahJain/status/1710071420137410771",,,,,,,,,,,
"Thu Oct 05 23:07:30 +0000 2023;1710069229506949508;""@Nicho_Silalahi Amnesia dengan apa yg terjadi di rempang"";0;0;0;0;in;1645278064165928960;1709793985190125745;Firmansyah79655;https://twitter.com/Firmansyah79655/status/1710069229506949508",,,,,,,,,,,
"Thu Oct 05 23:07:21 +0000 2023;1710069192710324516;""@MarnoGmesra @yunartowijaya Tegak lurus bersama bbm beras rempang gas yg lagi carut marut..suruh org2 psi makan ubi sbgmn kata menterinya harus tegak kurus kan 😁😁"";0;0;0;0;in;1581324724990509056;1707966641135550798;karaeng_lipank;https://twitter.com/karaeng_lipank/status/1710069192710324516",,,,,,,,,,,
"Thu Oct 05 23:04:44 +0000 2023;1710068532866613657;""@Kikimusampa007 @prastow Sm rempang diem..bkn krn jkw mmg krn tugas blbi ..liat sj penyitaan aset dari waktu ke waktu🤣🤣"";0;0;0;1;in;1581324724990509056;1709872324655333517;karaeng_lipank;https://twitter.com/karaeng_lipank/status/1710068532866613657",,,,,,,,,,,
"Thu Oct 05 22:59:57 +0000 2023;1710067331219480951;""@kopi_kretek @pakaipeci Bagus jg turun tangan utk memberikan kemajuan rempang cr investor dan ikutin kemauan warga"";0;1;0;1;in;97580514;1709927990837342424;NDNSTR;https://twitter.com/NDNSTR/status/1710067331219480951",,,,,,,,,,,
"Thu Oct 05 22:59:38 +0000 2023;1710067250076536997;""@giginpraginanto Rempang sengaja dipilih ""intelijen"" cina untuk mengawasi selat Malaka dan 17.000 ha lahan pulau Rempang akan mereka kuasai keseluruhan dengan alasan investasi !"";0;1;5;5;in;1616209097254375425;1709720062389572013;SsPasadena;https://twitter.com/SsPasadena/status/1710067250076536997",,,,,,,,,,,
"Thu Oct 05 22:59:04 +0000 2023;1710067109160514025;""Jalan pati kudus emang rame bgt dan jalannya ga rata. Ga terlalu parah lubang jalannya", tapi tetep bahaya bgt. Yg jalannya rusak parah justru jalan pati rembang," banyak bgt lubang yg dalamnya kaya palung Mariana :))))"";0;0;0;0;in;478128344;1710067109160514025;annisanurfdh_;https://twitter.com/annisanurfdh_/status/1710067109160514025",,,,,,,,,
"Thu Oct 05 22:58:53 +0000 2023;1710067060980519231;""@RamliRizal IKN",rempang,komodo,dll,"u china??menuju Singapore jilid 2"";0;0;0;1;in;1545365267139555328;1709772340761166196;malikacupang;https://twitter.com/malikacupang/status/1710067060980519231",,,,,,,
